city,longitude,latitude,median_temp_f,median_pres_psi,median_humid_%,median_wind_mph,max_prec_in,median_cloud_%,latitude_predict
Abilene,-99.7475905,32.44645,65.04691803,14.74327121,58.05054645,10.10677822,0.118077966,3.211748634,32.082276264000015
Alabaster,-86.8163773,33.2442813,63.60721311,14.7692671,76.46857923,4.357627104,0.132502904,21.13251366,35.50291025900001
Albany,-73.754968,42.6511674,67.0037541,14.77955052,74.07650273,5.719079973,0.12934039,17.93306011,37.538263360000016
Apache Junction,-111.549577,33.4150485,71.92611475,14.70158269,32.9863388,5.421180027,0.064767007,8.015027322,33.61576774299999
Bar Harbor,-68.2043361,44.3876378,45.92506557,14.7350088,80.43169399,7.862688279,0.086001033,39.90710383,42.02488097399997
Barberton,-81.6051221,41.012833,51.07680328,14.75095902,73.06284153,7.560387678,0.098328385,52.68032787,41.62625677000001
Batesville,-91.6409722,35.769799,59.91313115,14.76266906,73.37568306,4.895790628,0.101878146,19.04644809,38.69368476700002
Beckley,-81.1881557,37.7781702,52.95081967,14.77416113,76.33879781,5.489634672,0.107966525,43.87021858,40.31037931200001
Bend,-121.3153096,44.0581728,49.49127869,14.76256998,58.66393443,5.278097596,0.030947464,3.698087432,40.63954688100001
Bloomingdale,-88.0809036,41.9575285,73.09945902,14.7678603,79.43169399,5.514938443,0.163794587,20.81967213,29.986015594000015
Bloomsburg,-76.4537302,41.0044958,50.88072131,14.78638634,77.07923497,4.209471694,0.090647993,48.41120219,40.119846325
Boone,-93.8802202,42.0596994,53.97918033,14.78497954,77.19125683,4.367100738,0.127275074,32.28825137,37.138641608
Brookings,-96.79844,44.311461,45.33401639,14.71951431,79.30327869,9.790236612,0.126930855,25.76912568,44.051036736000036
Buchanan,-73.9381943,41.2620383,49.88447541,14.74804637,77.67486339,8.638609454,0.099457855,42.51229508,41.989020658999976
Camp Verde,-111.854317,34.5636358,56.82018033,14.72304118,40.41530055,4.998411475,0.046501872,3.658469945,35.319391297
Campbellsville,-85.3419069,37.3433974,56.42167213,14.76675072,74.9726776,5.733748825,0.092358332,34.05874317,37.71734040100003
Charlestown,-72.424622,43.2387,56.20793443,14.74335046,73.8784153,6.09588612,0.098457467,39.34153005,41.46728936550001
Charlottesville,-78.4766781,38.029306,56.20262295,14.75811185,70.97540984,4.46849918,0.098554279,20.77459016,39.077700662500014
Cheyenne,-104.820246,41.139981,46.34196721,14.75565492,54.63114754,10.43976117,0.042113076,11.64071038,40.64306393300002
Clinton,-90.1887379,41.8444735,56.48236066,14.763739,70.83743169,6.602756093,0.159222925,29.71721311,38.746758558
